code_com,code_id,P21_POP,SUPERF,MED21,density,median_income
76219,76219_0003,2460,14.51,20530,5.133078562030312,20530
76220,76220_0001,523,17.96,20720,3.3714344011908692,20720
76221,76221_0001,192,6.43,25510,3.3965208337782533,25510
76222,76222_0001,4020,10.02,22810,5.994454085956348,22810
76222,76222_0002,4020,10.02,22810,5.994454085956348,22810
76222,76222_0003,4020,10.02,22810,5.994454085956348,22810
76223,76223_0001,528,7.1,24340,4.309001499658992,24340
76224,76224_0001,969,12.82,25230,4.325258160398242,25230
76225,76225_0001,360,9.39,23870,3.6464587382299842,23870
76226,76226_0001,155,1.89,24610,4.406848287847696,24610
76227,76227_0001,703,5,25520,4.9459189793765646,25520
76228,76228_0001,397,4.92,24690,4.390627750182974,24690
76229,76229_0001,393,10.65,23110,3.608249719713827,23110
76230,76230_0001,460,5.87,24660,4.361371855643135,24660
76231,76231_0001,15951,16.32,17120,6.884885452636487,17120
76231,76231_0002,15951,16.32,17120,6.884885452636487,17120
76231,76231_0003,15951,16.32,17120,6.884885452636487,17120
76231,76231_0004,15951,16.32,17120,6.884885452636487,17120
76231,76231_0005,15951,16.32,17120,6.884885452636487,17120
76231,76231_0006,15951,16.32,17120,6.884885452636487,17120
76231,76231_0007,15951,16.32,17120,6.884885452636487,17120
76231,76231_0008,15951,16.32,17120,6.884885452636487,17120
76231,76231_0009,15951,16.32,17120,6.884885452636487,17120
76232,76232_0001,634,6.81,21350,4.533656834275805,21350
76233,76233_0001,154,4.45,23510,3.5440485062354803,23510
76234,76234_0001,768,6.43,24530,4.782815194898144,24530
76235,76235_0001,1978,14.58,22020,4.910190785602145,22020
76236,76236_0001,356,6.22,22900,4.047160824100942,22900
76237,76237_0001,513,6.61,23170,4.351692191307174,23170
76239,76239_0001,783,6.84,27050,4.740344964356344,27050
76240,76240_0001,1052,6.44,23640,5.0959198531813925,23640
76241,76241_0001,139,3.7,22950,3.626141113480513,22950
76242,76242_0001,207,7.46,24180,3.3231633790496997,24180
76243,76243_0001,294,4.04,24080,4.287335075365623,24080
76244,76244_0001,386,9.76,24120,3.67754496903983,24120
76245,76245_0001,1641,5.12,26020,5.769906652038674,26020
76247,76247_0001,517,5.29,24530,4.582224628638221,24530
76249,76249_0001,850,10.6,23640,4.384382348366341,23640
76250,76250_0001,1210,8.22,25560,4.991805429522698,25560
76251,76251_0001,433,3.55,21950,4.8037901245151655,21950
76252,76252_0001,1059,4.63,23900,5.432523477503263,23900
76253,76253_0001,833,11.59,24970,4.274890984815182,24970
76254,76254_0001,1233,4.07,23330,5.7135625037098405,23330
76255,76255_0001,6591,17.93,21700,5.906985073435679,21700
76255,76255_0002,6591,17.93,21700,5.906985073435679,21700
76255,76255_0003,6591,17.93,21700,5.906985073435679,21700
76255,76255_0004,6591,17.93,21700,5.906985073435679,21700
76255,76255_0005,6591,17.93,21700,5.906985073435679,21700
76257,76257_0001,183,12.08,17920,2.717934960334752,17920
76258,76258_0001,4208,38.01,23120,4.706893471416389,23120
76258,76258_0002,4208,38.01,23120,4.706893471416389,23120
76258,76258_0003,4208,38.01,23120,4.706893471416389,23120
76258,76258_0004,4208,38.01,23120,4.706893471416389,23120
76258,76258_0005,4208,38.01,23120,4.706893471416389,23120
76258,76258_0006,4208,38.01,23120,4.706893471416389,23120
76258,76258_0007,4208,38.01,23120,4.706893471416389,23120
76258,76258_0008,4208,38.01,23120,4.706893471416389,23120
76259,76259_0001,18016,15.07,19850,7.086309518301013,19850
76259,76259_0002,18016,15.07,19850,7.086309518301013,19850
76259,76259_0003,18016,15.07,19850,7.086309518301013,19850
76259,76259_0004,18016,15.07,19850,7.086309518301013,19850
76259,76259_0005,18016,15.07,19850,7.086309518301013,19850
76259,76259_0006,18016,15.07,19850,7.086309518301013,19850
76259,76259_0007,18016,15.07,19850,7.086309518301013,19850
76259,76259_0008,18016,15.07,19850,7.086309518301013,19850
76259,76259_0009,18016,15.07,19850,7.086309518301013,19850
76259,76259_0010,18016,15.07,19850,7.086309518301013,19850
76259,76259_0011,18016,15.07,19850,7.086309518301013,19850
76259,76259_0012,18016,15.07,19850,7.086309518301013,19850
76259,76259_0013,18016,15.07,19850,7.086309518301013,19850
76259,76259_0014,18016,15.07,19850,7.086309518301013,19850
76259,76259_0015,18016,15.07,19850,7.086309518301013,19850
76259,76259_0016,18016,15.07,19850,7.086309518301013,19850
76260,76260_0001,1675,15.88,21400,4.658507988440177,21400
76261,76261_0001,444,19.05,22900,3.148757460859515,22900
76262,76262_0001,142,8.8,23210,2.7810753361171,23210
76263,76263_0001,1262,39.76,22230,3.4575916613127853,22230
76264,76264_0001,471,4.48,24320,4.655235047589524,24320
76265,76265_0001,161,12.39,20670,2.5645146693434118,20670
76266,76266_0001,710,4.93,22520,4.969925981980762,22520
76268,76268_0001,179,11.85,21920,2.7150579382596147,21920
76269,76269_0001,168,6.03,22120,3.327216968664165,22120
76270,76270_0001,2635,6.68,30880,5.9775204734269085,30880
76270,76270_0002,2635,6.68,30880,5.9775204734269085,30880
76271,76271_0001,1843,12.2,24370,5.017714005930612,24370
76272,76272_0001,885,5.35,20750,5.108491084100014,20750
76273,76273_0001,563,3.52,28460,5.074818638529685,28460
76275,76275_0001,1743,5.61,27130,5.738812325985416,27130
76276,76276_0001,3702,15.33,20540,5.48681680024972,20540
76276,76276_0002,3702,15.33,20540,5.48681680024972,20540
76276,76276_0003,3702,15.33,20540,5.48681680024972,20540
76276,76276_0004,3702,15.33,20540,5.48681680024972,20540
76278,76278_0001,792,7.28,19610,4.689430529605831,19610
76279,76279_0001,349,4.28,23250,4.401118912608721,23250
76280,76280_0001,140,5.41,22200,3.253393329750914,22200
76281,76281_0001,2081,10.02,24930,5.336020730736916,24930
76281,76281_0002,2081,10.02,24930,5.336020730736916,24930
76282,76282_0001,994,3.18,26440,5.744856009864488,26440
76283,76283_0001,237,10.96,23830,3.0738078596152616,23830
76284,76284_0001,335,5.22,23620,4.161633129930519,23620
76285,76285_0001,554,6.88,28340,4.388546034802031,28340
76286,76286_0001,672,13.12,21030,3.936120557007207,21030
76287,76287_0001,1063,13.45,26930,4.3698712722941,26930
76288,76288_0001,370,11.13,21710,3.5038588403508166,21710
76289,76289_0001,1732,22.92,23490,4.325022197275842,23490
76289,76289_0002,1732,22.92,23490,4.325022197275842,23490
