code_circ,situation_code,share_far_right,share_strongest
111,1,0.3291031561404118,0.2803374882816569
112,1,0.3288681809357406,0.2972561962078561
113,0,0.2264571346186613,0.4564268581988807
114,3,0.2773525908278737,0.38920488385944013
115,2,0.18133873499032813,0.4319683200116793
116,0,0.35096760893653206,0.12317365423763754
117,0,0.4361432484362863,0.23077552021585382
118,3,0.28154150341464595,0.28492582394255145
119,2,0.2507462686567164,0.4082894878127349
120,3,0.39936454701910773,0.33010458496977185
121,4,0.25751753583409576,0.3295821896919793
122,4,0.2615729439438995,0.30574541742488126
123,1,0.4931247683875875,0.2689044489087398
124,0,0.3462298284166833,0.24760826618721005
125,0,0.41084458934947987,0.18444340940847695
126,3,0.34237770771890574,0.30397640597986375
127,3,0.3115341788653214,0.3254121289481546
128,0,0.14414942773867917,0.3935629487452904
129,3,0.4311050025666926,0.28407491430558546
130,2,0.2811754176610978,0.36767601431980906
131,1,0.40848963474827243,0.2806605043525083
132,1,0.32281012471404325,0.3389860526898384
133,3,0.3920375497126154,0.32312146039151757
134,3,0.4887803175711045,0.21354039434653638
135,2,0.28929720298784145,0.3313523435654181
136,3,0.35370394626050183,0.34341260782515953
137,0,0.09043431563402027,0.37454521044505606
138,1,0.42321051312350055,0.3178644322698464
139,2,0.33647950519297115,0.30800307466795374
140,0,0.40413880003877095,0.4824803722012213
141,0,0.4552968493705132,0.19361779179004324
142,0,0.23061539340609108,0.243319429365941
143,2,0.17432751799038743,0.4031041716455562
144,1,0.36860260370060327,0.3683283780273071
145,0,0.13999462798818157,0.3885397081206912
146,3,0.3359998367446891,0.30836887537497704
147,1,0.4271045069040443,0.28266278825261093
148,3,0.4883372134670487,0.28046651146131807
149,3,0.30964042683802884,0.33606311142457845
150,0,0.30287437094799835,0.22425987214943102
151,3,0.33646702678683016,0.3280241067585019
152,4,0.20671625789638623,0.34010127166867343
153,0,0.21275006560752568,0.4168197508932717
154,0,0.09611609048228767,0.5139564660691421
155,0,0.16875421353298087,0.4014299400347727
156,0,0.2756520119225037,0.4228017883755589
157,0,0.4492325943501149,0.15351078816638244
158,0,0.094745133340834925,0.372791718240126
159,0,0.47062944718117133,0.14255062944718117
160,2,0.20428814900480857,0.4456296792257593
161,3,0.42342342342342343,0.30659097759469506
162,3,0.3585084508480014,0.2657314103218468
163,1,0.39947070499154597,0.3824340219069323
164,0,0.21788517580991681,0.433834634447257
165,0,0.3418485517316548,0.18657184119458295
166,0,0.1756494976011587,0.477070697927039
167,3,0.4081058869328258,0.29397897832951253
168,0,0.3295698272024604,0.3436930921451985
169,1,0.35121907970564764,0.23282205869314657
170,3,0.4529322002683575,0.25546581072903785
171,1,0.4068978622327791,0.33919239904988124
172,0,0.4785668699475252,0.16281378527868387
173,0,0.04570918822479929,0.10331846565566459
174,0,0.13988749394628022,0.4944864582945274
175,0,0.3434234571950705,0.3619792886931259
176,3,0.4176822318469551,0.3142787003103684
177,3,0.48162316390151116,0.30840114128711826
178,0,0.09684435596844355,0.4018653690186537
179,0,0.36283903992009736,0.26628484035082245
180,1,0.3794055760126249,0.3162546028406102
181,1,0.2753997346988261,0.32296852044673297
182,1,0.4101032612733081,0.33025778173984105
183,3,0.32166841229745546,0.2850840983303555
184,1,0.46446097289903393,0.3196888090963495
